127.0.0.1 - - [22/Aug/2019:14:07:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:18 +0530] "GET /DepartmentCrud/ HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:21 +0530] "GET /DepartmentCrud/ HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:22 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 500 4283
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:50 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:52 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:58 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:59 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:07:59 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:08:00 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:08:00 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:08:00 +0530] "GET /DepartmentCrud/UpdateDepartment.jsp?deptno=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:08:02 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:08:07 +0530] "GET /DepartmentCrud/AddDepartment.jsp?deptno=101&dname=fd&loc=gdfh&head=gffh HTTP/1.1" 200 2286
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:08:52 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:08:59 +0530] "GET /DepartmentCrud/AddDepartment.jsp?deptno=102&dname=gbdf&loc=hbhh&head=hhh HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:09:03 +0530] "GET /DepartmentCrud/DeleteDepartment.jsp?deptno=102 HTTP/1.1" 500 2939
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:11:45 +0530] "GET /DepartmentCrud/DeleteDepartment.jsp?deptno=102 HTTP/1.1" 200 2286
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:11:47 +0530] "GET /DepartmentCrud/DeleteDepartment.jsp?deptno=101 HTTP/1.1" 200 2064
